"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"ENDURANCE RUN - BY PACE","Run","","0.416666666666667","","2020-11-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.416666666666667","","2020-11-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-11-28","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1","","2020-11-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RECOVERY DAY","Day Off","","","","2020-12-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHORT INTERVALS 6X100,10X50","Swim","Don't do these all-out. Be in total control and let good form dictate speed. -------------------- 600 = 6 X 100 w/30 sec rest 100 = 2 X 50 kick 500 = 10 X 50 w/20 sec rest","","1097.28002929688","2020-12-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.566666666666667","","2020-12-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-12-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pyramid","Swim","WU: 6 x 50 increasing pace slightly each 25. MS: 50 (10”), 100 (20”), 200 (30”), 100 (20”), 50. CD: 100 Back and/or Brest Stroke Total—1300","0.3","822.960021972656","2020-12-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.566666666666667","","2020-12-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-12-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1.03333333333333","","2020-12-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","2.5","","2020-12-20","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RECOVERY WEEK","Other","","","","2020-12-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"400 TO 100 LADDER","Swim","400 = 400 SWIM - Alternate breast and free by 25's. 300 = 2X (100, 50) w/30 sec rest 200 = 4X 50 w/30 sec rest 100 = 100 swim 1000 TOTAL","0.366666666666667","914.400024414063","2020-12-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.333333333333333","","2020-12-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","0.833333333333333","","2020-12-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AEROBIC 100's","Swim","WU: 450 = 100 swim easy 50 kick easy 100 swim moderate 50 kick moderate 100 swim build speed 50 kick build speed. ----------------- MS: 400 = 4 x 100 (10” rest) ------------------ CD 200 easy swim. Mixed stroke if you like ------------------ Total: 1050","0.366666666666667","1050","2020-12-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EASY RUN","Run","","0.333333333333333","","2020-12-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","0.75","","2020-12-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RUN RACE/TIME TRIAL/RUN TEST","Run","","","4828.03369140625","2020-12-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","1.5","","2020-12-27","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RECOVERY DAY","Day Off","","","","2020-12-28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.583333333333333","","2020-12-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2020-12-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2020-12-30","","1575","","","","","0.576273612976074","0.75830524795378","","22","","","","","","1.16236130054737","90.5","","","","","","","","","","","","","","","","","","","","","",""
"GDC01","Swim","300 = 300 swim warm up 400 = 4 x 100 w/30"" 100 = kick 300 = 6 x 50 w/30""","0.366666666666667","1005.84002685547","2020-12-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.583333333333333","","2020-12-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2021-01-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-01","","3460.69995117188","","","","","0.504934132099152","1.90400004386902","","69","","","","","","0.770482503989841","32.65","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-01","","6175.7998046875","","","","","0.749816060066223","2.28800010681152","","79","","","","","","0.905459889025129","67.63","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1.1","","2021-01-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","2.5","","2021-01-03","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RECOVERY DAY","Day Off","","","","2021-01-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lap Swimming","Swim","","","","2021-01-06","","1325","","","","","0.496668056911892","0.739810161920715","","22","","","","","","1.13459004083322","72.54","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.533333333333333","","2021-01-06","","4461.22021484375","","","","","0.596598029136658","2.07699990272522","","73","","142","172","","","0.852657710427535","47.44","26","7","3","0","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2021-01-07","","21378.25","","","","","1.10774445533752","5.36100006103516","","","","143","164","","","0.709301052914448","61.9","5","18","43","1","0","","","","","","","","","","","","","","","","",""
"Ramp-up Swim","Swim","","0.5","","2021-01-07","","1675","","","","","0.662575558556451","0.702011735121542","","22","","","","","","1.07514915568745","82.35","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1","","2021-01-08","","7000.66015625","","","","","1.026482462883","1.89400005340576","","70","","134","163","","","0.760325133688267","65.77","53","8","0","0","0","0","0","","","","","","","","","","","","","","",""
"Fast 50s","Swim","WU: 400 easy swim. MS: 4 x 50 w/30” rest 50 kick easy. 4 x 50 w/30” rest 50 kick easy. CD: 100 easy swim. Total—1000","","914.400024414063","2021-01-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-09","","15400.7099609375","","","","","2.10124659538269","2.03600001335144","","74","","147","175","","","0.814559578201461","157.31","65","20","34","6","0","0","0","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1.16666666666667","","2021-01-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2021-01-10","","22274","","","","","1.2430157661438","4.97800016403198","","","","142","166","","","0.701532463416711","68.14","5","28","39","3","0","","","","","","","","","","","","","","","","",""
"Geoff ladder","Swim","300 swim 3 x 100 swim w/30 sec rest 8 x 50 swim w/20 sec rest 300 swim","0.433333333333333","1188.71997070313","2021-01-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.533333333333333","","2021-01-12","","","","","","","0.533333333333333","2.040625","","","","","","","","0.798830816875","37.11","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2021-01-13","","22531.390625","","","","","1.19088804721832","5.25600004196167","","","","148","171","","","0.754846377891897","75.5","4","14","41","13","0","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.533333333333333","","2021-01-14","","4126.509765625","","","","","0.558137178421021","2.05399990081787","","74","","143","173","","","0.797624832511895","38.78","15","7","11","1","0","0","0","","","","","","","","","","","","","","",""
"4X100, 2X200 pull","Swim","300 W/U --------------------- 400 = 4 x 100 w/30 sec recovery 400 = 2 x 200 pull free 30 sec recovery 400 = 1 x 200 kick w/fins into 200 swim w/fins ------------------- 200 = Easy swim - first 25 fist drill","","1554.47998046875","2021-01-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2021-01-15","","20607.859375","","","","","1.19242978096008","4.80100011825562","","","","129","151","","","0.615520650987307","50.27","12","54","6","0","0","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1.16666666666667","","2021-01-16","","7706.990234375","","","","","2.01308059692383","1.06299996376038","","52","","100","139","","","0.420393065179583","40.11","121","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"GDC01","Swim","300 = 300 swim warm up 400 = 4 x 100 w/30"" 100 = kick 300 = 6 x 50 w/30""","0.366666666666667","1005.84002685547","2021-01-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","1.5","","2021-01-17","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","21994.240234375","","","","","1.41094470024109","4.32999992370605","","","","118","140","","","0.598215536262338","56.41","27","58","0","0","0","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.533333333333333","","2021-01-19","","3254.98999023438","","","","","0.95951110124588","0.941999971866608","","45","","140","168","","","0.366184522467145","14.24","46","9","2","0","0","0","0","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2021-01-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-20","","3664.86010742188","","","","","0.512803316116333","1.98500001430511","","74","","133","164","","","0.773825898062325","33.45","23","7","1","0","0","0","0","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.533333333333333","","2021-01-21","","4221.08984375","","","","","0.593921899795532","1.97399997711182","","75","","127","160","","","0.771734794693609","38.68","34","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"AEROBIC 100's","Swim","WU: 450 = 100 swim easy 50 kick easy 100 swim moderate 50 kick moderate 100 swim build speed 50 kick build speed. ----------------- MS: 400 = 4 x 100 (10” rest) ------------------ CD 200 easy swim. Mixed stroke if you like ------------------ Total: 1050","0.366666666666667","960.119995117188","2021-01-21","","850","","","","","0.311914722124736","0.754884547069272","","22","","","","","","1.15897046949865","48.56","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2021-01-22","","19690.009765625","","","","","1.15710556507111","4.72700023651123","","","","141","171","","","0.685913439175452","60.53","1","36","29","3","0","","","","","","","","","","","","","","","","",""
"500 TO 100 LADDER","Swim","500 = swim 400 = 400 SWIM - Alternate breast, back and free by 25's. 300 = 2X (100, 50) w/30 sec rest 200 = 4X 50 w/30 sec rest 100 = 100 swim 1500 TOTAL","0.5","1371.59997558594","2021-01-22","","1300","","","","","0.4811958360672","0.747986191024166","","22","","","","","","1.14897561035261","72.99","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1.16666666666667","","2021-01-23","","5836.0498046875","","","","","0.956275820732117","1.69500005245209","","72","","147","172","","","0.692019115654716","50.68","27","20","10","0","0","0","0","","","","","","","","","","","","","","",""
"GDC02","Swim","300 = 300 swim warm up 500 = 5 x 100 w/30"" 100 = kick 400 = 8 x 50 w/30""","0.433333333333333","1188.71997070313","2021-01-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","1.58333333333333","","2021-01-24","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.533333333333333","","2021-01-26","","4241.31005859375","","","","","0.58637523651123","2.0090000629425","","78","","130","156","","","0.791562001354062","40.16","33","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"SHORT INTERVALS 6X100,10X50","Swim","Don't do these all-out. Be in total control and let good form dictate speed. -------------------- 600 = 6 X 100 w/30 sec rest 100 = 2 X 50 kick 500 = 10 X 50 w/20 sec rest","","1097.28002929688","2021-01-26","","1000","","","","","0.323822500970629","0.852514919011083","","23","","","","","","1.31335549517508","73.36","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.33333333333333","","2021-01-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-01-27","","6616.60009765625","","","","","0.805984139442444","2.27999997138977","","76","","144","177","","","0.91376107932727","74.13","26","9","7","6","0","0","0","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.533333333333333","","2021-01-28","","6617.68017578125","","","","","0.850407540798187","2.16199994087219","","76","","142","167","","","0.863413223702434","69.96","40","10","1","0","0","0","0","","","","","","","","","","","","","","",""
"GEOFF LADDER 00","Swim","Warm up 200 swim + 2 X 100 Kick -------------- 4 x 100 swim w/30 sec rest 4 x 75 swim w/20 sec rest 4 x 50 swim w/15 sec rest 100 easy","0.466666666666667","1280.16003417969","2021-01-28","","1050","","","","","0.362728056377835","0.7996953541508","","23","","","","","","1.2311117276837","67.68","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.33333333333333","","2021-01-29","","27302.189453125","","","","","1.33978366851807","5.66099977493286","","","","144","162","","","0.712663873837168","75.93","3","23","54","0","0","","","","","","","","","","","","","","","","",""
"Pyramid","Swim","WU: 6 x 50 increasing pace slightly each 25. MS: All are at T-pace: 100 (10”), 200 (15”), 300 (15”), 200 (15”), 100. CD: 100 easy with emphasis on form. Total—1300","","1188.71997070313","2021-01-29","","1700","","","","","0.595900001525879","0.78996282527881","","23","","","","","","1.21329065621338","106.43","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1.16666666666667","","2021-01-31","","8417.3798828125","","","","","1.2717376947403","1.83899998664856","","70","","130","167","","","0.730991971741994","75.75","66","8","3","0","0","0","0","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","1.66666666666667","","2021-02-01","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-01","","6613.58984375","","","","","0.981232225894928","1.87199997901917","","73","","130","158","","","0.748343126930816","60.85","58","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.416666666666667","","2021-02-02","","3412.34008789063","","","","","0.469391673803329","2.01900005340576","","74","","131","167","","","0.787291345810875","31.63","18","7","3","0","0","0","0","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.416666666666667","","2021-02-03","","4097.2900390625","","","","","0.532320857048035","2.13800001144409","","74","","132","166","","","0.846874157148502","41.62","21","9","2","0","0","0","0","","","","","","","","","","","","","","",""
"AEROBIC 100's","Swim","WU: 450 = 100 swim easy 50 kick easy 100 swim moderate 50 kick moderate 100 swim build speed 50 kick build speed. ----------------- MS: 400 = 4 x 100 (10” rest) ------------------ CD 200 easy swim. Mixed stroke if you like ------------------ Total: 1050","0.366666666666667","960.119995117188","2021-02-03","","900","","","","","0.322865277396308","0.772532188841202","","24","","","","","","1.18552437130044","53.8","","","","","","","","","","","","","","","","","","","","","",""
"Pyramid","Swim","WU: 6 x 50 increasing pace slightly each 25. MS: 50 (10”), 100 (20”), 200 (30”), 100 (20”), 50. CD: 100 Back and/or Brest Stroke Total—1300","0.3","822.960021972656","2021-02-04","","875","","","","","0.305796667204963","0.78971119133574","","24","","","","","","1.21692727024653","55.11","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1","","2021-02-04","","19319.640625","","","","","1.08077251911163","4.96500015258789","","","","141","166","","","0.696389794613737","58.18","3","23","37","2","0","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1","","2021-02-05","","19353.0390625","","","","","1.00268423557281","5.36100006103516","","","","154","174","","","0.788357241600149","69.07","1","9","26","24","0","","","","","","","","","","","","","","","","",""
"GDC01","Swim","300 = 300 swim warm up 400 = 4 x 100 w/30"" 100 = kick 300 = 6 x 50 w/30""","0.366666666666667","1005.84002685547","2021-02-05","","1005.84002685547","","","","","0.366666666666667","0.762000020345052","","","","","","","","0","58.23","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","","1","","2021-02-06","","9125.4404296875","","","","","1.2838499546051","1.97399997711182","","73","","135","167","","","0.773625530729389","85.66","62","13","2","0","0","0","0","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","1.25","","2021-02-07","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","27731.130859375","","","","","1.52162218093872","5.06199979782104","","","","116","148","","","0.596476559327996","60.6","48","41","2","0","0","","","","","","","","","","","","","","","","",""
"200's & 100's","Swim","300 = 2 x (100 swim/50 kick) 600 = 3 x 200 w/30"" rest 400 = 4 x 100 w/30sec rest) 200 = Easy W/D Mixed Strokes","","1371.59997558594","2021-02-09","","1400","","","","","0.472698890897963","0.821114369501466","","23","","","","","","1.2596003439409","94.47","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.533333333333333","","2021-02-09","","8887.08984375","","","","","1.96079385280609","1.25899994373322","","56","","115","152","","","0.520951601635124","59.95","118","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"ENDURANCE/TEMPO RIDE - BY HR","Bike","After 45 min, increase effort to tempo zone. Keep in mind, heart rate is a trailing indicator so don't go too hard trying to hit HR zone.","1.08333333333333","","2021-02-10","","20544.390625","","","","","1.23876082897186","4.60699987411499","","","","128","161","","","0.632328770759569","55.16","17","47","11","0","0","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","2 x 22' run","0.833333333333333","","2021-02-11","","7118.2998046875","","","","","1.01419687271118","1.95000004768372","","69","","127","157","","","0.78120263078758","68.59","55","5","0","0","0","0","0","","","","","","","","","","","","","","",""
"2X (4X100 DESCENDING)","Swim","WU: 300 Swim --------------- MS: -------------- 4 x 100 descending times (w/20"" rest) 2 x 50 kick easy 4 x 100 descending times ( w/20"" rest) ------------ CD: ----------- 100 back stroke 200 swim","0.5","1371.59997558594","2021-02-11","","1175","","","","","0.404531388812595","0.802595628415301","","23","","","","","","1.23530716188023","76.26","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2021-02-12","","15040.16015625","","","","","1.15348255634308","3.62199997901917","","","","94","136","","","0.568546585879067","41.45","67","2","0","0","0","","","","","","","","","","","","","","","","",""
"2X (4X100 DESCENDING)","Swim","WU: 300 Swim --------------- MS: -------------- 4 x 100 descending times (w/20"" rest) 2 x 50 kick easy 4 x 100 descending times ( w/20"" rest) ------------ CD: ----------- 100 back stroke 200 swim","0.5","1371.59997558594","2021-02-12","","1375","","","","","0.479027779367235","0.794797687861272","","23","","","","","","1.22076288519266","87.15","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","2 x 22' run","1.23333333333333","","2021-02-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","1.5","","2021-02-14","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.583333333333333","","2021-02-16","","5384.22021484375","","","","","0.630275249481201","2.37299990653992","","75","","148","179","","","0.932973452062663","60.05","14","5","10","9","0","0","0","","","","","","","","","","","","","","",""
"Aerobic ints","Swim","WU: 100 swim easy, 50 kick easy, 100 swim moderate, 50 kick moderate, 100 swim build speed, 50 kick build speed. MS: For the first set decrease times with each work interval. All aerobic—easy breathing. 4 x 100 (10” rest) moderate. Rest 2 minutes. Kick 300 steady. 6 x 25 relaxed speed (15” rest). CD: 200 easy swim. Total: 1500","","1371.59997558594","2021-02-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.33333333333333","","2021-02-17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2021-02-17","","116.76000213623","","","","","0.0237438883632421","1.36600005626678","","60","","101","111","","","0.5242428682464","0.66","1","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","2 x 22' run","0.833333333333333","","2021-02-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Fast 50s 3X","Swim","WU: 400 easy swim. MS: 5 x 50 very fast (30”). 50 kick easy. 5 x 50 very fast (30”). 50 kick easy. 5 x 50 very fast (30”). 50 kick easy. CD: 200 easy swim. Total—1500","","1371.59997558594","2021-02-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.25","","2021-02-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GDC02","Swim","300 = 300 swim warm up 500 = 5 x 100 w/30"" 100 = kick 400 = 8 x 50 w/30""","0.433333333333333","1188.71997070313","2021-02-19","","900","","","","","0.309731111526489","0.803571428571429","","22","","","","","","1.2357966014895","58.46","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","2 x 25' run","1.25","","2021-02-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EXTENSIVE ENDURANCE RIDE - BY HR","Bike","","1.58333333333333","","2021-02-21","Heart rate will drift up as you fatigue so start segments at low end of zone and with equal effort you'll likely find HR near top of zone at the end.","33257.7890625","","","","","1.79521787166595","5.14599990844727","","","","140","172","","","0.680214590918639","93.37","7","51","47","3","0","","","","","","","","","","","","","","","","",""
"ENDURANCE RUN - BY PACE","Run","","0.583333333333333","","2021-02-23","","4728.64013671875","","","","","0.615557789802551","2.1340000629425","","73","","129","163","","","0.855348664845726","49.29","32","5","0","0","0","0","0","","","","","","","","","","","","","","",""
"400, 2x200, 4x100 - 1800","Swim","300 swim/ 200 kick warmup 1 x 400 2 x 200 4 x 100 100 IM","0.6","1645.92004394531","2021-02-23","","1600","","","","","0.548879723548889","0.808489135927236","","22","","","","","","1.2397442801823","104.59","","","","","","","","","","","","","","","","","","","","","",""
"ENDURANCE/TEMPO RIDE - BY HR","Bike","After 45 min, increase effort to tempo zone. Keep in mind, heart rate is a trailing indicator so don't go too hard trying to hit HR zone.","1.16666666666667","","2021-02-24","","467.339996337891","","","","","0.025590555742383","5.07299995422363","","","","119","126","","","0.628401141657394","1.02","0","1","0","0","0","","","","","","","","","","","","","","","","",""
"100's, 75's 50's","Swim","Warm-up 400 Swim 200 kick -------- Main set 400 = 4 x 100 swim w/30"" rest 300 = 4 x 75 swim w/30"" rest 200 = 4 x 50 swim w/20"" rest ---------- 1500 TOTAL","0.5","1371.59997558594","2021-02-24","","1300","","","","","0.42459166791704","0.846354166666667","","23","","","","","","1.30215056304984","93.75","","","","","","","","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-02-24","","22192.560546875","","","","","1.26963973045349","4.85500001907349","","","","135","162","","","0.657610185438636","61.19","9","41","25","0","0","","","","","","","","","","","","","","","","",""
"ENDURANCE WALK/RUN","Run","2 x 22' run","0.833333333333333","","2021-02-25","","6907.35986328125","","","","","0.968632221221924","1.98099994659424","","72","","124","158","","","0.77661877570561","64.67","55","3","0","0","0","0","0","","","","","","","","","","","","","","",""
"Fast 50s 4X","Swim","WU: 400 easy swim. MS: 5 x 50 very fast (30”). 50 kick easy. 5 x 50 very fast (30”). 50 kick easy. 5 x 50 very fast (30”). 50 kick easy. 5 x 50 very fast (30”). 50 kick easy. CD: 200 easy swim. Total—1800","","1645.92004394531","2021-02-26","","1400","","","","","0.411600557433234","0.937081659973226","","23","","","","","","1.44657648004312","124.59","","","","","","","","","","","","","","","","","","","","","",""
"Z2 ENDURANCE RIDE - BY HR","Bike","","1.33333333333333","","2021-02-26","","844.5","37","369","10.949","","0.0871619433164597","2.69099998474121","","28","","","","","","0.317173102032117","0.81","","","","","","","","","","","5","0","0","0","0","0","","","","","",""
"ENDURANCE WALK/RUN","Run","2 x 26' run w/shortened walk break","1.2","","2021-02-27","","9960.7099609375","","","","","1.33995807170868","2.06500005722046","","73","","144","172","","","0.815471548595556","99.44","46","22","12","0","0","0","0","","","","","","","","","","","","","","",""
"Cycling","Bike","","","","2021-02-27","","27713.400390625","132","889","668.424","","1.41204619407654","5.4520001411438","","63","","145","174","","","0.514211687396558","37.07","4","22","56","4","0","","","","","","62","20","2","0","0","0","","","","","",""
"ENDURANCE/TEMPO RIDE - BY HR","Bike","After 60 min, increase effort to tempo zone. Keep in mind, heart rate is a trailing indicator so don't go too hard trying to hit HR zone.","1.5","","2021-02-28","","33862.390625","150","485","830.688","","1.5386084318161","6.11299991607666","","65","","143","177","","","0.578963679174095","51.25","4","27","57","4","0","","","","","","48","37","6","1","1","0","","","","","",""
